N,q,q_b,eps_ref,nu,dA,cc_pct
48,10.0,2.0000000000000004,0.12,0.9030636838305997,0.8752021569652219,0.2868956397240796
48,15.0,3.0000000000000004,0.04,0.8825262662559815,0.19741058230797923,0.20011239178136514
48,15.0,3.0000000000000004,0.06,0.8948296237779912,0.2938626129406295,0.20011239178136514
48,15.0,3.0000000000000004,0.08,0.9057021722109212,0.3932529554614648,0.20011239178136514
48,15.0,3.0000000000000004,0.1,0.9160307972923188,0.495739349892527,0.20011239178136514
48,15.0,3.0000000000000004,0.12,0.9260980180639128,0.601504768655868,0.20011239178136514
48,20.0,4.000000000000001,0.04,0.8939813736705712,0.15031440955011813,0.15362450410838713
48,20.0,4.000000000000001,0.06,0.9063160225827236,0.22373605747027533,0.15362450410838713
48,20.0,4.000000000000001,0.08,0.9173336411354426,0.2994447723376399,0.15362450410838713
48,20.0,4.000000000000001,0.1,0.9278573223686174,0.37755596718899476,0.15362450410838713
48,20.0,4.000000000000001,0.12,0.9381475950032704,0.4582133550947292,0.15362450410838713
48,30.0,6.000000000000001,0.04,0.9057905232173096,0.10175440440957945,0.10486970784736852
48,30.0,6.000000000000001,0.06,0.9181528484443676,0.15145226301892267,0.10486970784736852
48,30.0,6.000000000000001,0.08,0.9293217547446986,0.20272697076226592,0.10486970784736852
48,30.0,6.000000000000001,0.1,0.9400499020353001,0.2556596302906043,0.10486970784736852
48,30.0,6.000000000000001,0.12,0.9505745122879612,0.3103506270684009,0.10486970784736852
48,50.0,10.000000000000002,0.04,0.9155033125847073,0.06181466797136659,0.06414861502283678
48,50.0,10.000000000000002,0.06,0.9278855120108364,0.09200398536788221,0.06414861502283678
48,50.0,10.000000000000002,0.08,0.9391802673266255,0.12316508540523284,0.06414861502283678
48,50.0,10.000000000000002,0.1,0.9500791738925538,0.15534928173310303,0.06414861502283678
48,50.0,10.000000000000002,0.12,0.9607998868009103,0.18861908085838275,0.06414861502283678
72,0.05,0.010000000000000002,0.04,0.15959786182234703,3.1494691645562987,2.1946997455383253
72,0.05,0.010000000000000002,0.06,0.16568722383921516,4.706567077382717,2.1946997455383253
72,0.05,0.010000000000000002,0.08,0.1701855511135357,6.259105492242007,2.1946997455383253
72,0.05,0.010000000000000002,0.1,0.174187287664627,7.8058346602932716,2.1946997455383253
72,0.05,0.010000000000000002,0.12,0.17795787208374506,9.346862153514566,2.1946997455383253
72,0.1,0.020000000000000004,0.04,0.19493319436930678,3.005323699316653,2.1832474672680506
72,0.1,0.020000000000000004,0.06,0.20218605382112848,4.486796483006524,2.1832474672680506
72,0.1,0.020000000000000004,0.08,0.20718685046037802,5.966580137639326,2.1832474672680506
72,0.1,0.020000000000000004,0.1,0.21143600288652092,7.443272130571395,2.1832474672680506
72,0.1,0.020000000000000004,0.12,0.21531280471859066,8.917072481163135,2.1832474672680506
72,0.15,0.030000000000000006,0.04,0.22718334286198144,2.8737085991384044,2.1673252672175436
72,0.15,0.030000000000000006,0.06,0.23540648294470307,4.286655902793701,2.1673252672175436
72,0.15,0.030000000000000006,0.08,0.2408398072626157,5.7002469355798855,2.1673252672175436
72,0.15,0.030000000000000006,0.1,0.24531846801003274,7.1130482465158105,2.1673252672175436
72,0.15,0.030000000000000006,0.12,0.2493085836796289,8.525311774508403,2.1673252672175436
72,0.2,0.04000000000000001,0.04,0.2567310374052991,2.75307999489354,2.1481223745914666
72,0.2,0.04000000000000001,0.06,0.2657722818244704,4.103641919450897,2.1481223745914666
72,0.2,0.04000000000000001,0.08,0.2715821864924365,5.4567324892213325,2.1481223745914666
72,0.2,0.04000000000000001,0.1,0.27627290448767544,6.8110029286968965,2.1481223745914666
72,0.2,0.04000000000000001,0.12,0.28038111483320455,8.16671765053519,2.1481223745914666
72,0.3,0.06000000000000001,0.04,0.30896807700124657,2.5397221623313255,2.1032806665178407
72,0.3,0.06000000000000001,0.06,0.31928110147254785,3.780794394890301,2.1032806665178407
72,0.3,0.06000000000000001,0.08,0.325719742040584,5.02734265572017,2.1032806665178407
72,0.3,0.06000000000000001,0.1,0.33079957289769635,6.278105334174338,2.1032806665178407
72,0.3,0.06000000000000001,0.12,0.3351514297637948,7.533417542261663,2.1032806665178407
72,0.5,0.10000000000000002,0.04,0.3924054197113223,2.198656551653054,2.002353415903775
72,0.5,0.10000000000000002,0.06,0.4043402719511245,3.2668666857216655,2.002353415903775
72,0.5,0.10000000000000002,0.08,0.41168822281275463,4.344099069234541,2.002353415903775
72,0.5,0.10000000000000002,0.1,0.4174297649068028,5.42921267941497,2.002353415903775
72,0.5,0.10000000000000002,0.12,0.42226872945736865,6.522840560621366,2.002353415903775
72,0.75,0.15000000000000002,0.04,0.4696822444756096,1.882459833087901,1.876118917951413
72,0.75,0.15000000000000002,0.06,0.4827189972795783,2.792515725977438,1.876118917951413
72,0.75,0.15000000000000002,0.08,0.490898143266983,3.712966849719929,1.876118917951413
72,0.75,0.15000000000000002,0.1,0.4972275220414101,4.644767704272102,1.876118917951413
72,0.75,0.15000000000000002,0.12,0.502632570924439,5.5869832263023165,1.876118917951413
72,1.0,0.20000000000000004,0.04,0.5274911238260799,1.6457247156105215,1.7608062938351894
72,1.0,0.20000000000000004,0.06,0.5411273249624511,2.4385348933639346,1.7608062938351894
72,1.0,0.20000000000000004,0.08,0.5498932732490451,3.242231662253576,1.7608062938351894
72,1.0,0.20000000000000004,0.1,0.5566870800358587,4.0586305880917255,1.7608062938351894
72,1.0,0.20000000000000004,0.12,0.5625916280653045,4.886415860099222,1.7608062938351894
72,1.5,0.30000000000000004,0.04,0.6081986159941608,1.3149387506973764,1.5689666482690219
72,1.5,0.30000000000000004,0.06,0.6223708133664437,1.945467397332781,1.5689666482690219
72,1.5,0.30000000000000004,0.08,0.6318329916287827,2.58711592385487,1.5689666482690219
72,1.5,0.30000000000000004,0.1,0.6393694006472678,3.2410984018187063,1.5689666482690219
